[13:14:26.227 verbose] Detected PBES extension.
[13:14:26.244 verbose] pbes2bool parameters:
[13:14:26.244 verbose]   input file:         model/model.req5.pbes
[13:14:26.244 verbose]   data rewriter:      jittyc
[13:14:26.244 verbose]   pbes rewriter:      1
[13:14:26.272 verbose] using 'mcrl2compilerewriter' to compile rewriter.
[13:14:26.306 verbose] compiling rewriter...
[13:14:32.855 verbose] loading rewriter...
[13:14:32.856 verbose] Retrieving pbes_equations from equation system...
[13:14:32.860 verbose] Computing a BES from the PBES....
[13:17:02.023 verbose] Processed 302000 and generated 329481 boolean variables
[13:17:02.504 verbose] Processed 303000 and generated 330716 boolean variables
[13:17:02.990 verbose] Processed 304000 and generated 331685 boolean variables
[13:17:03.454 verbose] Processed 305000 and generated 332651 boolean variables
[13:17:03.929 verbose] Processed 306000 and generated 333601 boolean variables
[13:17:04.434 verbose] Processed 307000 and generated 334578 boolean variables
[13:17:04.936 verbose] Processed 308000 and generated 335501 boolean variables
[13:17:05.458 verbose] Processed 309000 and generated 336687 boolean variables
[13:17:05.001 verbose] Processed 310000 and generated 337734 boolean variables
[13:17:06.518 verbose] Processed 311000 and generated 338969 boolean variables
[13:17:07.086 verbose] Processed 312000 and generated 340385 boolean variables
[13:17:07.626 verbose] Processed 313000 and generated 341357 boolean variables
[13:17:08.208 verbose] Processed 314000 and generated 342354 boolean variables
[13:17:08.759 verbose] Processed 315000 and generated 343135 boolean variables
[13:17:09.337 verbose] Processed 316000 and generated 344146 boolean variables
[13:17:09.903 verbose] Processed 317000 and generated 345315 boolean variables
[13:17:10.495 verbose] Processed 318000 and generated 346385 boolean variables
[13:17:11.026 verbose] Processed 319000 and generated 347560 boolean variables
[13:17:11.579 verbose] Processed 320000 and generated 348779 boolean variables
[13:17:12.123 verbose] Processed 321000 and generated 349828 boolean variables
[13:17:12.686 verbose] Processed 322000 and generated 350874 boolean variables
[13:17:13.237 verbose] Processed 323000 and generated 352131 boolean variables
[13:17:13.780 verbose] Processed 324000 and generated 353221 boolean variables
[13:17:14.253 verbose] Processed 325000 and generated 354325 boolean variables
[13:17:14.768 verbose] Processed 326000 and generated 355324 boolean variables
[13:17:15.285 verbose] Processed 327000 and generated 356396 boolean variables
[13:17:15.774 verbose] Processed 328000 and generated 357504 boolean variables
[13:17:16.290 verbose] Processed 329000 and generated 358624 boolean variables
[13:17:16.772 verbose] Processed 330000 and generated 359839 boolean variables
[13:17:17.301 verbose] Processed 331000 and generated 360859 boolean variables
[13:17:17.763 verbose] Processed 332000 and generated 361842 boolean variables
[13:17:19.467 verbose] Processed 333000 and generated 362743 boolean variables
[13:17:19.942 verbose] Processed 334000 and generated 363739 boolean variables
[13:17:20.420 verbose] Processed 335000 and generated 364690 boolean variables
[13:17:20.912 verbose] Processed 336000 and generated 365636 boolean variables
[13:17:21.422 verbose] Processed 337000 and generated 366954 boolean variables
[13:17:21.951 verbose] Processed 338000 and generated 367949 boolean variables
[13:17:22.443 verbose] Processed 339000 and generated 369131 boolean variables
[13:17:22.989 verbose] Processed 340000 and generated 370414 boolean variables
[13:17:23.506 verbose] Processed 341000 and generated 371500 boolean variables
[13:17:25.163 verbose] Processed 342000 and generated 372368 boolean variables
[13:17:25.700 verbose] Processed 343000 and generated 373181 boolean variables
[13:17:26.242 verbose] Processed 344000 and generated 374212 boolean variables
[13:17:26.788 verbose] Processed 345000 and generated 375362 boolean variables
[13:17:27.314 verbose] Processed 346000 and generated 376418 boolean variables
[13:17:27.798 verbose] Processed 347000 and generated 377471 boolean variables
[13:17:28.340 verbose] Processed 348000 and generated 378602 boolean variables
[13:17:28.838 verbose] Processed 349000 and generated 379648 boolean variables
[13:17:29.265 verbose] Processed 350000 and generated 380665 boolean variables
[13:17:29.794 verbose] Processed 351000 and generated 381622 boolean variables
[13:17:30.297 verbose] Processed 352000 and generated 382820 boolean variables
[13:17:30.811 verbose] Processed 353000 and generated 383884 boolean variables
[13:17:31.285 verbose] Processed 354000 and generated 384858 boolean variables
[13:17:31.739 verbose] Processed 355000 and generated 385808 boolean variables
[13:17:32.246 verbose] Processed 356000 and generated 386761 boolean variables
[13:17:32.679 verbose] Processed 357000 and generated 387874 boolean variables
[13:17:33.149 verbose] Processed 358000 and generated 389067 boolean variables
[13:17:33.638 verbose] Processed 359000 and generated 390099 boolean variables
[13:17:34.085 verbose] Processed 360000 and generated 391375 boolean variables
[13:17:34.577 verbose] Processed 361000 and generated 392285 boolean variables
[13:17:35.057 verbose] Processed 362000 and generated 393356 boolean variables
[13:17:35.507 verbose] Processed 363000 and generated 394260 boolean variables
[13:17:35.968 verbose] Processed 364000 and generated 395172 boolean variables
[13:17:36.450 verbose] Processed 365000 and generated 396158 boolean variables
[13:17:36.920 verbose] Processed 366000 and generated 397113 boolean variables
[13:17:37.434 verbose] Processed 367000 and generated 398431 boolean variables
[13:17:37.953 verbose] Processed 368000 and generated 399414 boolean variables
[13:17:38.443 verbose] Processed 369000 and generated 400530 boolean variables
[13:17:38.974 verbose] Processed 370000 and generated 401742 boolean variables
[13:17:39.516 verbose] Processed 371000 and generated 402930 boolean variables
[13:17:40.015 verbose] Processed 372000 and generated 403749 boolean variables
[13:17:40.582 verbose] Processed 373000 and generated 404543 boolean variables
[13:17:41.158 verbose] Processed 374000 and generated 405581 boolean variables
[13:17:41.749 verbose] Processed 375000 and generated 406702 boolean variables
[13:17:42.232 verbose] Processed 376000 and generated 407721 boolean variables
